,Indeed Snippet
593,<b>Data</b> <b>Scientist</b> to join its growing <b>Data</b> <b>Science</b> team. 3+ years of <b>Data</b> Modeling or similar experience. Demonstrated experience working with large relational…
594,Responsible for <b>data</b> normalization and cleansing. Have experience with manual <b>data</b> cleanup projects. Strong database usage and ability to understand data…
595,"Advanced <b>Data</b> Analytics, Machine Learning, <b>Data</b> <b>Science</b>, Predictive Modeling, Forecasting, Outcomes Analysis, <b>Data</b> Warehousing and Visualization."
596,"We are looking for a customer-focused, solutions-oriented <b>Data</b> <b>Scientist</b> for our Amazon Studio <b>Data</b> <b>Science</b> team."
597,We are looking for an accomplished <b>data</b> <b>science</b> and analytics leader to join our team. You’ll lead a team of talented <b>data</b> <b>scientists</b> that coordinates…
598,"2+ years <b>data</b> <b>science</b> experience, preferably with fraud and credit risk detection solutions. Research, explore, and enable new quantitative techniques and…"
599,"AWS, Azure, Domino <b>Data</b> Lab, Alteryx, <b>Data</b> Robot). Ability to independently navigate the <b>data</b> <b>science</b> process, ranging from identifying a business problem,…"
600,Lead <b>data</b> <b>science</b> projects from beginning to end: Experience leading <b>data</b> <b>science</b> projects that have a direct impact on company objectives.
601,"Working Title Senior <b>Data</b> <b>Scientist</b>. The Senior <b>Data</b> <b>Scientist</b> will provide leadership and guidance to the CC in areas such as informatics, cloud-based…"
602,"Collect and mine <b>data</b> from disparate <b>data</b> sources, digging deeper to understand the process behind the <b>data</b>. Translate business opportunities into <b>data</b> science…"
603,System Engineering - Modelling and Simulation Electrical Engineering - Signal Processing - RF Design - Analog Circuits - Hardware Design Computer Engineering -…
604,"Manager, <b>Data</b> <b>Science</b> & Risk Management. Johnson & Johnson, Health Care Compliance & Privacy (HCCP) is currently recruiting for a <b>Data</b> <b>Scientist</b>, to join the…"
605,"<b>Data</b> <b>science</b>, animal <b>science</b> or related fields degree or 1 year of professional experience in those fields is desirable. The position does not require travel."
606,"As a <b>Data</b> <b>Science</b> Intern, you will be tasked with key business questions from one of our <b>data</b> <b>science</b> teams. Working towards a bachelor's degree or higher from…"
607,"Organize and analyze multiple <b>data</b> sources. Assist <b>Data</b> Management functions within the team. College major in mathematics, the <b>sciences</b>, and/or business…"
608,"Solve marketing and product analytics problems by doing work such as developing <b>data</b> structures, pipelines, and <b>data</b> visualizations that enable us to find…"
609,The <b>Data</b> Manager leads a team of analysts and is responsible for leading the strategic plan for SACHS <b>data</b> collection and reporting.
610,"Bachelor of <b>Science</b> in mathematics or related field. <b>Data</b> management/documentation, and writing validation code in SAS to QC proprietary questionnaire software…"
611,"Highly experienced expert in big <b>data</b> who can analyze <b>data</b> for actionable insights by: Explores <b>data</b> using a variety of advanced statistical (e.g., <b>data</b> mining)…"
612,Build a <b>data</b> <b>science</b> culture and establish <b>data</b> <b>science</b> best practices. Shape requirements for cloud-based <b>data</b> <b>science</b> infrastructure in partnership with data…
613,"Ability to analyze raw <b>data</b> and extract actionable insights. Degree/Advanced Degree in Mathematics, Economics, Computer <b>Science</b>, Information Management or…"
614,"Ability to analyze raw <b>data</b> and extract actionable insights. Degree/Advanced Degree in Mathematics, Economics, Computer <b>Science</b>, Information Management or…"
615,"You will be responsible for applying your expertise in quantitative analysis, <b>data</b> mining, and <b>data</b> presentation to define KPIs and support dataset creation."
616,"The <b>Data</b> Analyst is responsible for reviewing raw <b>data</b> outputs, processing <b>data</b>, developing reports, and extracting actionable intelligence."
617,Professional experience as a <b>Data</b> <b>Scientist</b>. To manipulate <b>data</b> and draw insights from large <b>data</b> sets. Develop custom <b>data</b> models and algorithms to apply to…
618,Experience with <b>data</b> <b>science</b> tools such as scikit-learn and <b>data</b> visualization packages. Gain experience applying algorithms to real-world <b>data</b>.
619,Leads a team of diverse team of <b>data</b> <b>scientists</b>. Lead cross-functional projects using advanced <b>data</b> analysis techniques. Knowledge transfer to team members.
620,"The <b>Data</b> Architect will be a central resource for enterprise <b>data</b> and metadata management. Ability to build processes supporting <b>data</b> transformation, data…"
621,Transform <b>data</b> into actionable insights. In-depth experience with <b>data</b> visualization programs; The selected candidate will employ analytical skills to drive…
622,5 years’ experience in an enterprise <b>data</b> <b>science</b> or statistical <b>data</b> analytics role. The qualified applicant will assist the USTRANSCOM Senior <b>Data</b> Scientist…
623,Mentor and/or manage junior <b>data</b> <b>science</b> team members and serves as a subject matter of expertise in <b>data</b> <b>science</b> internally and externally.
624,"Your role, as <b>Data</b> <b>Science</b> Lead - Pricing will be to lead a team of <b>data</b> <b>scientists</b> to build systems and models to identify and deliver both incremental and…"
625,Hiring and mentoring talented <b>data</b> <b>scientists</b>. Experience hiring and mentoring exceptional <b>data</b> <b>scientists</b>. Partnering with other personalization <b>science</b> teams…
626,<b>Data</b> <b>Scientists</b> are responsible for managing the successful design and production of major <b>data</b> initiatives across all customer-facing channels.
627,"[BASED ON JOB DESCRIPTION, THE NECESSARY JOB REQUIREMENTS/PREFERENCES—DEGREES, LICENSES, CERTIFICATIONS, ETC.]."
628,"Business Analytics, <b>Data</b> <b>Science</b>, Accounting, Mathematics, Statistics or other related fields. We are seeking a <b>Data</b> Analyst who is passionate about using data…"
629,The <b>Data</b> <b>Scientist</b> SME candidate will work with stakeholders to identify opportunities for leveraging Air Force (AF) <b>data</b> to drive solutions.
630,Acquire <b>data</b> from primary or secondary <b>data</b> sources and maintain databases/data systems. Proven working experience as a <b>data</b> analyst or business <b>data</b> analyst.
631,"Previous experience performing research in <b>Data</b> Analytics or big <b>data</b>. 4+ years of experience in <b>data</b> <b>science</b>, analytics or quantitative intelligence analysis,…"
632,"InMarket is seeking a talented, and motivated, <b>Data</b> Analyst to join our <b>Data</b> <b>Science</b> & Insights team. Computer <b>Science</b>, Economics, Mathematics, Physics,…"
633,"IBMers believe that the application of intelligence, reason and <b>science</b> can improve business, society and the human condition. What about all of these?"
634,"Advanced skills in planning, designing and troubleshooting complex core <b>data</b> center network environments. Must have at least 5 years of experience designing,…"
635,Perform <b>data</b> analysis to support the master <b>data</b> modeler with the development of the logical and physical <b>data</b> model. <b>Data</b> Mining and Problem Solving.
636,"Allegheny <b>Science</b> & Technology Corporation (AST) is an award winning, woman-owned technology and energy firm with expertise in applied <b>science</b> and technology,…"
637,"N <b>Data</b> Science-L3, (Mandatory) .As an Architect you are responsible for providing technical leadership to small size/complexity/order-value projects."
638,"(MTSI) is seeking a Mid-Level <b>Scientist</b> in Springfield, VA. Automating <b>data</b> analysis using machine learning, characterize existing and new sensor systems,…"
639,Master's or PhD with 2+ years in a <b>Data</b> <b>Science</b> role or Bachelor's degree in a STEM field with 5+ years in a <b>Data</b> <b>Science</b> / <b>Data</b> Analytics role.
640,"Proven skills in business management, computer <b>science</b>, or related field and at least one to three years of relevant experience. Be a Part of Something Amazing."
641,3-5 years <b>data</b> <b>science</b> experience required. Educate and develop system engineers on distributed systems engineering so as to enable future <b>data</b> <b>science</b> and…
642,"Experience with visualization tools like Periscope <b>Data</b>, <b>Data</b> Studio, Tableau, ArcGIS a plus. <b>Data</b> Integrity Specialists work closely across our <b>Data</b>, Growth…"
643,Build relationships with business teams and <b>data</b> <b>science</b> teams to identify new opportunities for deep analytics on customer behavior and site performance.
644,Acquire <b>data</b> from primary or secondary <b>data</b> sources and maintain databases/data systems. Proven working experience as a <b>data</b> analyst or business <b>data</b> analyst.
645,"Our team is made up of experienced <b>data</b> engineers, <b>data</b> architects, and <b>data</b> <b>scientists</b> paired with project managers and technical business analysts working on…"
646,Work with the Front End teams and <b>Data</b> <b>Scientists</b> to determine the most optimal ways to process and schematize the <b>data</b>. 0-2 years of relevant experience.
647,"Demonstrate and share your passion and understanding of <b>data</b> <b>science</b>. A degree in Statistics, Computer <b>Science</b>, Physical <b>Sciences</b> or a related technical field."
648,Demonstrated ability to lead technically oriented teams such as developers and/or <b>data</b> <b>scientists</b>. Knowledge of <b>data</b> analysis languages and open source big data…
649,We are seeking enthusiastic and talented lead <b>data</b> <b>scientists</b> to play key roles in the development of computer assisted decision support tools for digital…
650,"Strong interest in Machine Learning and <b>Data</b> <b>Science</b>. Junior/Senior undergraduate student or Master/PhD student in <b>Data</b> <b>Science</b>, Statistics, Applied Math,…"
651,"<b>Data</b> Analysts proactively identify opportunities for applying BI, advanced analytics, and <b>data</b> <b>science</b> techniques by becoming intimately familiar with both data…"
652,"Bachelor of <b>Science</b> degree in Electrical Engineering, Computer Engineering, Electrical Technology. Whether planning for, or in the midst of migrating legacy…"
653,Leads a team of diverse team of <b>data</b> <b>scientists</b>. Lead cross-functional projects using advanced <b>data</b> analysis techniques. Knowledge transfer to team members.
654,Responsible for advanced and predictive <b>data</b> analytics from complex and high value projects using big <b>data</b> and <b>data</b> <b>science</b> technology for healthcare innovation…
655,"A minimum of 2-3 years’ experience managing large <b>data</b> sets and analyzing <b>data</b> for actionable insights. The <b>Data</b> Analyst will support our product, partner…"
656,"Strong technical aptitude for <b>data</b> <b>science</b> (data analysis, <b>data</b> visualization, <b>data</b> structure). Gather and analyze operational <b>data</b>."
657,"Your role will include various exciting responsibilities that involve Marketing Strategy, Campaign Optimization, Product Development, Business Intelligence,…"
658,"You’ll use a wide array of <b>data</b> sources, including some of the most robust real estate <b>data</b> in the world, to build tools and answer questions that drive key…"
659,"Degree from an accredited university in Accounting, Finance, Economics, Computer <b>Science</b>, or related discipline is preferred."
660,Acquire <b>data</b> from primary or secondary <b>data</b> sources and maintain databases/data systems. Proven working experience as a <b>data</b> analyst or business <b>data</b> analyst.
661,"Passionate about continuous learning, demonstrates grasp of current trends in leveraging <b>Data</b> to generate insights – <b>Data</b> <b>Science</b> / Machine Learning / Analytics…"
662,"<b>Data</b> <b>Science</b> - USA Oldsmar, Florida. This team supports many cross-functional teams such as <b>Data</b> <b>Science</b> Product Enhancement, <b>Data</b> <b>Science</b> Business Leadership,…"
663,"Coming into this role you would have completed your sophomore or junior year of college, majoring in <b>Data</b> <b>Science</b>, Computer <b>Science</b>, Engineering, or other…"
664,"We have a special focus in cloud and infrastructure, <b>data</b> platform and engineering, <b>data</b> <b>science</b> and analytics, organizational modernization and customer…"
665,"The <b>Data</b> Management Associate excels in defining overall <b>data</b> standards and <b>data</b> collection requirements, <b>data</b> import, extraction, reporting, and analysis."
666,Chemours is seeking a <b>Data</b> <b>Scientist</b> Summer Intern to join our growing <b>Data</b> Services team! The <b>Data</b> <b>Scientist</b> will work closely with the <b>Data</b> Services team in…
667,"Pursue <b>data</b> quality, troubleshoot <b>data</b> validation, and see issues to resolution. Create dashboards by pulling <b>data</b> from different sources and present them to…"
668,The Big <b>Data</b> Lead Developer is responsible for design and development of core platform that enables the delivery and construction processes for the Data…
669,"Collaborate with cross-functional teams (Engineering, Platform, Systems, DBA) to design, develop and deploy new <b>data</b> pipelines that will provide critical data…"
670,"You’ll be managing our team of talented <b>data</b> <b>scientists</b>, engineers, and <b>data</b> analysts. You’re comfortable reading and writing production quality <b>data</b> <b>science</b> or…"
671,"5+ years experience mining and manipulating <b>data</b> as a <b>data</b> analyst. Develop and maintain databases by acquiring <b>data</b> from primary and secondary sources, and…"
672,"2+ years of experience in a <b>Data</b> Visualization, <b>Data</b> <b>Scientist</b>, or <b>Data</b> Analyst role. Advanced degree in <b>Data</b> <b>Science</b>, Statistics, Engineering, or other…"
673,"As a Staff <b>Data</b> <b>Scientist</b>, you will dive deep into our <b>data</b> to uncover actionable insights and make recommendations that will influence the company’s strategic…"
674,"BS/BA Degree in Software Engineering, <b>Data</b> <b>Science</b>, Business or Business Analytics. Analyze the accessibility and composure of <b>data</b> from each of the primary…"
675,"We have a special focus in cloud and infrastructure, <b>data</b> platform and engineering, <b>data</b> <b>science</b> and analytics, organizational modernization and customer…"
676,Experience with <b>data</b> <b>science</b> / machine learning tools on AWS. Enhance <b>data</b> models by developing integrations with business partners and build the infrastructure…
677,"Industry leadership in the fields of database, Analytics or <b>data</b> <b>sciences</b>. Experience with non-relational, NoSQL databases and other <b>data</b> analytics applications…"
678,"They work with a wide range of <b>data</b> types including sensor <b>data</b>, process <b>data</b>, maintenance and financial <b>data</b>. Filters and cleans acquired <b>data</b>."
679,"Coordinate and facilitate <b>data</b> collection and <b>data</b> analysis. Experience with <b>data</b> collection and entry, survey construction, <b>data</b> interpretation and analysis,…"
680,"Experience/background as a <b>data</b> warehousing, <b>data</b> management, and <b>data</b> engineering a huge plus. Experience in selling large, complex <b>data</b> solutions and…"
681,"HS Diploma with strong background in <b>science</b>, math or engineering. Maintaining material safety <b>data</b> sheets for all department chemicals and products."
682,"Experience performing business analysis or financial/statistical <b>data</b> required. Financial analysis, <b>data</b> analysis, trend identification, as well as monitoring…"
683,"N <b>Data</b> Science-L1, (Mandatory) .As a Lead, you are responsible for managing a small team of analysts, developers, testers or engineers and drive delivery of a…"
684,"<b>Data</b> ingestion, staging, <b>data</b> quality monitoring, and business modeling. <b>Data</b> background (Sql, Pl/Sql, ETL background). Strong Python skills (must have)."
685,"Fulfills <b>data</b> requests and preparation of <b>data</b> files. The <b>data</b> analyst will accomplish this by providing sound <b>data</b>, analytical, survey, and project management…"
686,"Experience cleansing and integrating <b>data</b> from disparate <b>data</b> sources. Experience with programming languages used in <b>data</b> <b>science</b>, such as Python and R."
687,Implement change control for production <b>data</b>. Analyze new <b>data</b> sources for integration into solution. Craft solutions for <b>data</b> integration and business layer.
688,"The <b>Data</b> <b>Scientist</b> builds a solid understanding of technology, <b>data</b>, and models to address analytics, with the ability to <b>data</b> mine to identify trends and…"
689,"2+ years of experience in a <b>Data</b> Visualization, <b>Data</b> <b>Scientist</b>, or <b>Data</b> Analyst role. Advanced degree in <b>Data</b> <b>Science</b>, Statistics, Engineering, or other…"
690,Lead and create a team of <b>data</b> <b>scientists</b>. Mentor and hire the best <b>data</b> <b>scientists</b> in the valley. Provide/inspire <b>data</b> <b>science</b> innovations that fuel the growth…
691,The IT <b>Data</b> Analyst manages <b>data</b> analysis and usage requirements and focuses on <b>data</b>- and integration-intensive initiatives.
692,Review and maintain <b>data</b> models and <b>data</b> quality in association with other <b>Data</b> analysts. Manage processes and governance for <b>data</b> center inventory and cloud…
693,"Work side-by-side with product managers, software engineers, <b>data</b> engineers, and <b>data</b> analysts in creating <b>data</b> <b>science</b> products and governance programs."
694,"Design best practices for big <b>data</b> processing, <b>data</b> modeling and enterprise <b>data</b> warehouse development. Understand end to end <b>data</b> management interactions and…"
695,"BA/BS in computer <b>science</b>, <b>data</b> <b>science</b> or similar. The <b>Data</b> Steward is responsible for sourcing and developing <b>data</b> sets for use on dashboard reporting and…"
696,"<b>Data</b> management with large, administrative datasets including health care claims <b>data</b>. Works with the Assistant Director of Analytics to create written data…"
697,"2+ years of comprehensive <b>data</b> warehouse analysis and design experience, with full knowledge of <b>data</b> warehouse methodologies and <b>data</b> modeling."
698,"<b>Data</b> and process analysis, <b>data</b> quality metrics/monitoring, <b>data</b> architecture, developing policies/standards & supporting processes."
699,"Develop and maintain a formal description of the <b>data</b> and <b>data</b> structures, <b>data</b> definitions and <b>data</b> models. Vergent LMS is looking for a Business Intelligence …"
700,Farelogix is lookingfor a BI <b>Data</b> Engineer to work with Big <b>Data</b>. Proficiency with <b>data</b> and statisticalanalysis. Elasticsearch and Redshift a plus**.
701,"As a Senior <b>Data</b> <b>Scientist</b> in Wealthfront’s <b>Data</b> <b>Science</b> organization, you’ll be responsible for improving the quality of our decisions using <b>data</b> and the…"
702,Obtain and review <b>data</b> quality reports or error logs for supplemental <b>data</b> sources to ensure <b>data</b> integrity and maximize <b>data</b> capture.
703,We are looking for a hands-on Senior <b>Data</b> <b>Scientist</b> in the <b>Data</b> Analytics & <b>Science</b> team. We are seeking a Senior <b>Data</b> <b>Scientist</b> who will partner with our…
704,Create <b>data</b> tools for analytics and <b>data</b> <b>scientist</b> team members to assist them in unlocking insight from enterprise <b>data</b>. Your ideas are our fuel.
705,"Industry leadership in the fields of database, <b>data</b> warehousing or <b>data</b> <b>sciences</b>. These professional services engagements will focus on customer solutions such…"
706,"The <b>Data</b> Analyst I supports MSC’s growing reporting, <b>data</b> analysis, and <b>data</b> visualization efforts, expanding our existing reporting, Business Intelligence (BI)…"
707,"Experience <b>data</b> warehousing and some background in <b>data</b> <b>science</b>. 1+ years of work experience using SQL, familiarity with <b>data</b> warehousing, <b>data</b> architecture,…"
708,"Your team will be consists of Database administrators, <b>Data</b> Engineers, <b>Data</b> Analysts, and <b>Data</b> <b>Scientists</b>. The ideal candidate is a thought leader with proven…"
709,"Knowledge equivalent to that which normally would be acquired by completing one or two years of post-bachelor degree work, such as a Master's in Statistics,…"
710,"Bachelors degree in Computer <b>Science</b>; Job Title Big <b>Data</b> Scala Developer. NOSQL <b>data</b> stores such as MongoDB, Cassandra. Location San Francisco Bay Area, CA."
711,"Experience implementing EHS needs in the design of <b>data</b> centers and knowledge of <b>Data</b> Center Operations, Facilities Management, Engineering, and Construction."
712,"Experience building and optimizing 'big <b>data</b>' <b>data</b> pipelines, architectures and <b>data</b> sets. Build processes supporting <b>data</b> transformation, <b>data</b> structures,…"
713,"Provide <b>data</b> management in a team environment, including <b>data</b> entry, analysis, quality, technical assistance, and <b>data</b> reporting support using Environmental…"
714,"Prototype <b>data</b> solutions to enable warehousing, event driven <b>data</b> capture, and <b>data</b> modeling. Develop re-usable <b>data</b> solution patterns to enable quick to market…"
715,Also requires knowledge of <b>data</b> modeling and <b>data</b> warehouse design principles. Ensures that reports containing consolidated <b>data</b> are based on common data…
716,"Interact with <b>data</b> <b>scientists</b> and industry experts to understand how <b>data</b> needs to be converted, loaded and presented. Agronomic and seed marketing expertise."
717,"(MTSI) is seeking two <b>Data</b> Transfer Specialist to join our team. As a <b>Data</b> Transfer Specialist with MTSI, you will You will supports multiple Special Access…"
718,"As a <b>Data</b> Engineer, you will build resilient and efficient <b>data</b> pipelines and ETL jobs to ingest <b>data</b> from different sources into a format to support query…"
719,Working with a cross functional team of <b>data</b> <b>scientists</b> and analysts to understand business requirements leverage our <b>data</b>. This is the role for you.
720,"5-10+ years background in ML, <b>data</b> <b>science</b>, analytics, UX (including <b>data</b> visualization), <b>data</b> engineering functions, and lab automation / instrumentation."
721,"Patient analytics using Real-World <b>Data</b> sources such as anonymized longitudinal patient claims <b>data</b>, lab/diagnostic testing <b>data</b>, etc."
722,Bachelor of <b>Science</b> and 2 years' <b>data</b> <b>science</b> experience OR Master of <b>Science</b> and 1 year's <b>data</b> <b>science</b> experience. Directing the analysis of <b>data</b>;
723,"Experience with Big <b>Data</b>, <b>Data</b> <b>Science</b>, Python, R a plus. Experience with Big <b>Data</b>, <b>Data</b> <b>Science</b>, Python, R a plus. Experience in <b>data</b> management and controls."
724,"Experience with <b>data</b> migration and <b>data</b> security. Experience performing <b>data</b> mapping with attention to detail, <b>data</b> accuracy, and completeness."
725,"Collect and mine <b>data</b> from disparate <b>data</b> sources, digging deeper to understand the process behind the <b>data</b>. Translate business opportunities into <b>data</b> science…"
726,Identify <b>data</b> anomalies and work with the Director of Institutional Research and the area responsible for these <b>data</b> to clean up the <b>data</b> for reporting and…
727,"Minimum 5 years’ of <b>data</b> warehouse development experience, working knowledge of Kimball and <b>Data</b> Vault <b>data</b> warehousing methodology is highly desirable."
728,The Outcomes <b>Data</b> <b>Science</b> & Analytics team is composed of <b>data</b> <b>scientists</b> and business analysts. Interns on our <b>Data</b> <b>Science</b> team will apply <b>data</b> mining and…
729,"The <b>Data</b> Engineer will support our software developers, database architects, <b>data</b> analysts and <b>data</b> <b>scientists</b> on <b>data</b> initiatives and will ensure optimal data…"
730,"<b>Data</b> and process analysis, <b>data</b> quality metrics/monitoring, <b>data</b> architecture, developing policies/standards & supporting processes."
731,"<b>Data</b> Governance, Business Analysis, <b>Data</b> Technology, and Application Engineering. Excellent technical abilities with 3-5 years of experience in <b>data</b> governance,…"
732,"Collaborate with other engineers to produce a robust, highly performant <b>data</b> pipeline including <b>data</b> ingestion, transformation, aggregation, and storage of data…"
733,"We are looking for a <b>Data</b> Engineer, who will work within The Lead Group’s <b>Data</b> <b>Science</b> team. The Lead Group’s <b>Data</b> <b>Science</b> team creates value through…"
734,Assist with <b>data</b> exchanges between Student <b>Data</b> Applications. Enforce CPS <b>Data</b> Privacy Policies. Student <b>Data</b> Coordinator reports to the Chief Information…
735,Experience developing logical <b>data</b> models within a <b>data</b> warehouse. Are you a <b>data</b> enthusiast who seeks to tease out meaning from complex <b>data</b> flows and assets?
736,Is seeking a <b>Data</b> Engineer II with experience in <b>data</b> acquisition/extraction and <b>data</b> blending geared towards but not limited to the Telecommunications Industry…
737,Strong understanding of extensible <b>data</b> modeling and designing for large scale <b>data</b> environments. Drive technical strategy for Identity <b>data</b> across life cycle…
738,Build relationships with business teams and <b>data</b> <b>science</b> teams to identify new opportunities for deep analytics on customer behavior and site performance.
739,Job Title Big <b>Data</b> Scala Developer. Big <b>Data</b> Scala developer with Java experience.. Extensive experience architecting and engineering Big <b>Data</b> processing…
740,"The mission of our <b>data</b> team at Red Ventures to make <b>data</b> easy-to-use for everyone. Extracts, cleanses, and validates <b>data</b>;"
741,"Ability to analyze <b>data</b> results, determine the source of aberrant statistics, and resolve <b>data</b> issues. Creates <b>data</b> search programs to identify pertinent data…"
742,"This position is part of an 18-month rotational <b>Data</b> <b>Science</b> Accelerator Program (DSAP), allowing analysts rotate through Enterprise <b>Data</b> Office and Line of…"
743,"Experience with integration of <b>data</b> from multiple <b>data</b> sources. The Big <b>Data</b> Engineer’s primary responsibilities are to build, integrate <b>data</b> from various…"
744,"1-2 years hands-on experience designing and implementing <b>data</b> integration, Big <b>Data</b>, and/or business intelligence solutions. The position title and number,."
745,"Experience with <b>Data</b> <b>Science</b> / <b>Data</b> Analyst and their associated tools. IBMers believe that the application of intelligence, reason and <b>science</b> can improve…"
746,"Experience with managing <b>data</b>, <b>data</b> analysis or <b>data</b> quality assurance, including moderate experience transforming <b>data</b> into reports through use of pivot tables…"
747,Strong Understanding of end to end <b>data</b> life cycle and <b>data</b> management tasks. We are looking for a <b>Data</b> Architect to lead the development of our data…
748,"Three years’ experience in <b>data</b> processing (ETL- collect, parse, analyze, load and manage <b>data</b>) from diverse big <b>data</b> sources and <b>data</b> warehousing."
749,"Work with <b>data</b> <b>science</b>, <b>data</b> architects, and business teams to ensure analysis and visualizations scale efficiently."
750,"PhD in a related field, such as <b>Data</b> Analytics, BI, Linguistics, Human-Computer Interaction, Psycholinguistics, or Cognitive <b>Science</b>. We are seeking a Sr."
751,Scaling big <b>data</b> and ETL pipelines. CapTech consultants design and build <b>data</b> components that help organizations make better decisions by ensuring timely…
752,Experience developing logical <b>data</b> models within a <b>data</b> warehouse. Are you a <b>data</b> enthusiast who seeks to tease out meaning from complex <b>data</b> flows and assets?
753,"Experience designing and developing <b>data</b> models, integrating <b>data</b> from multiple sources, building ETL pipelines, etc..."
754,Responsible for resolution of <b>data</b> queries; The <b>Data</b> Entry Coordinator may be utilized in QC review of source <b>data</b> and other research related functions…
755,Supporting Healthcare’s material master <b>data</b> governance and <b>data</b> quality processes by creating reports and tools to manage <b>data</b> analysis and quality initiatives…
756,"Bachelor's degree in Neuroscience, health <b>science</b>, or <b>science</b> field is required. Assist in managing <b>data</b> validation, query resolutions and the reporting of data…"
757,"The most successful candidate will have and demonstrate skills and experience in a blend of <b>data</b> <b>science</b>, analytics, healthcare focus <b>data</b> management and…"
758,"As a <b>Data</b> <b>Science</b> intern, you will work with a variety of tools and <b>data</b> sets to assist in analysis across the enterprise. Lift up to 50 lbs."
759,"At least a Bachelor Degree, or its foreign equivalent, or higher degree in Information Systems Security, Cybersecurity, Computer <b>Science</b> or closely related…"
760,"2+ years <b>data</b> center experience. Bachelor's degree in Computer <b>Science</b>, Engineering or related field. We are looking for <b>Data</b> Center Technicians to join our…"
761,"Degree in Statistics, <b>Data</b> <b>Science</b>, Analytics or a comparable field preferred. Proven ability working with large, complex <b>data</b> sets and managing <b>data</b> quality –…"
762,"1 - 3 years of experience in Master <b>Data</b>, Customer Service, Manufacturing, or Supply Chain or knowledgeable in <b>data</b> <b>science</b>."
763,Work with <b>data</b> to derive business critical insights. Working on a computer <b>science</b> or similar degree. Interest in working with <b>data</b> to extract meaningful…
764,"Minimum of 5 years Technical <b>Data</b> writing/authoring experience; Perform Technical Publications <b>Data</b> Design tasking, including, but not limited to:"
765,Work with <b>Data</b> <b>Scientists</b> to develop forward looking analysis on products and territories. Develop advanced <b>data</b> analysis on pipeline and customer <b>data</b> to…
766,"Help design, instantiate, and maintain <b>data</b> storage setups for analytics and <b>data</b> <b>science</b>. Development responsibility for Master <b>Data</b> Management, <b>Data</b> Warehouse…"
767,"Investigate exceptions and <b>data</b> issues. Develop ETL for <b>data</b> migration and reports. BS/MS degree in Computer <b>Science</b>, Engineering or a related subject."
768,"Complete <b>Data</b> organization and analysis on large sets of <b>data</b> that encompass product characterization or process <b>data</b>. Painted Post, NY, US, 14870."
769,"Degree in geographic information systems, statistical analysis, data/program <b>sciences</b>, computer <b>science</b>, statistics, mathematics, economics, safety or other…"
770,"Collaborate and work cross functionally with <b>data</b> warehouse team, <b>data</b> <b>scientists</b>, PMs, engineers, sales and customer success. Manage and grow a team."
771,"Promotes, coordinates and supports the development of research Project (gathering, collecting and analysis <b>data</b>). Grant application preparation and submission;"
772,"Come join Intuit as a Senior <b>Data</b> <b>Scientist</b>, Business Analytics, in the <b>Data</b> Analytics & <b>Science</b> team. Perform hands-on <b>data</b> analysis and modeling with large…"
773,You can take a broad view of <b>data</b> from creation to consumption and understand how <b>data</b> design patterns affect <b>data</b> quality and the ability of users to easily…
774,"Prior experience in <b>data</b> analysis, <b>data</b> reconciliation and <b>data</b> reporting. Engage <b>data</b> custodians to ensure <b>data</b> is received timely, and correctly."
775,"BS/MS in Computer <b>Science</b> or a related field. Strong knowledge of design patterns, OOPS principles and <b>data</b> structures. This platform runs in Google Cloud."
776,"Warehouse development, working with unstructured <b>data</b> and <b>data</b> modeling will be necessary for. Interest and background in <b>data</b> engineering (acquiring, ingesting…"
777,"Assist the <b>Data</b> Operations team develop <b>data</b> flow/ ETL processes. Preferred majors are political <b>science</b>, government, math, computer <b>science</b>, business,…"
778,Perform <b>data</b> quality checks on <b>data</b> files and written materials to identify <b>data</b> limitations and <b>data</b> gaps. Develop and maintain standard operating procedures…
779,Experience / understanding of <b>data</b> <b>science</b> and machine learning concepts preferred. Provide subject matter expertise to the <b>data</b> <b>science</b> team and collaborate on…
780,"Help move <b>data</b> from legacy systems to modern <b>data</b> ecosystem. Experience implementing modern <b>data</b> platforms for various hot, warm, cold <b>data</b> needs."
781,Proficient <b>data</b> analysis and <b>data</b> reporting techniques and methodologies. The Senior <b>Data</b> Analyst provides support of all organizational <b>data</b> management…
782,"This position is part of an 18-month rotational <b>Data</b> <b>Science</b> Accelerator Program (DSAP), allowing analysts rotate through Enterprise <b>Data</b> Office and Line of…"
783,Focus would be advanced analytics and <b>data</b> <b>science</b> tasks. GAF is looking for a <b>Data</b> Analyst - Intern . This intern will assist with the development of new…
784,"Oversee the architecture for the <b>data</b> platform & cognitive components including unstructured <b>data</b> technologies, annotation and related <b>data</b> and analytics, e.g.…"
785,"Knowledgeable in multiple <b>data</b> management disciplines such as <b>data</b> governance, master <b>data</b> management, <b>data</b> integration, <b>data</b> modeling, business intelligence,…"
786,LiveSafe is looking for a talented <b>data</b> <b>scientist</b> to join our team. Talented engineer that loves <b>data</b>. You’ll create <b>data</b> products that provide deep insights…
787,"Industry leadership in the fields of database, Analytics or <b>data</b> <b>sciences</b>. Experience with non-relational, NoSQL databases and other <b>data</b> analytics applications…"
788,"7+ years of collective experience in software engineering, <b>data</b> analysis, <b>data</b> warehousing or <b>data</b> transformation, in a similarly sized organization."
